"","Sponsor.Name","Site.Name","AgrNbr","SiteNbr","Program.Type","County","Street.Address","Addr2","City","State","Zip.Code","Opr.Oct","Opr.Nov","Opr.Dec","Opr.Jan","Opr.Feb","Opr.Mar","Opr.Apr","Opr.May","Opr.Jun","Opr.Jul","Opr.Aug","Opr.Sep","Breakfast","Brk.Mon","Brk.Tue","Brk.Wed","Brk.Thu","Brk.Fri","Brk.Sat","Brk.Sun","AM.Snack","Ams.Mon","Ams.Tue","Ams.Wed","Ams.Thu","Ams.Fri","Ams.Sat","Ams.Sun","Lunch","Lun.Mon","Lun.Tue","Lun.Wed","Lun.Thu","Lun.Fri","Lun.Sat","Lun.Sun","PM.Snack","Pms.Mon","Pms.Tue","Pms.Wed","Pms.Thu","Pms.Fri","Pms.Sat","Pms.Sun","Supper","Sup.Mon","Sup.Tue","Sup.Wed","Sup.Thu","Sup.Fri","Sup.Sat","Sup.Sun","Evening.Snack","Eve.Mon","Eve.Tue","Eve.Wed","Eve.Thu","Eve.Fri","Eve.Sat","Eve.Sun","Qualifying.Area.School","QAS.SiteNbr","QAS..F.RP"
"223","North Wasco Co. SD","Colonel Wright Afterschool","3314003",13684,"After School At Risk Meals and Snacks Center","Wasco County","610 W 14th St","","The Dalles","OR","97058",1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Colonel Wright Elem",13357,"76.8%"
"58","Central SD 13J","Colonia Amistad","2703001",14464,"After School At Risk Meals and Snacks Center","Polk County","30 S. Gun Club Road","","Independence","OR","97351",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Talmadge  Middle",11090,"62.9%"
"317","Salem-Keizer SD - At Risk","Colonia Libertad","2419020",14606,"After School At Risk Meals and Snacks Center","Marion County","2910 Saddle Club Rd. SE","","Salem","OR","97302",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Miller Elem",12515,"67.4%"
"67","Community Connection of NE Oregon, Inc.","Community Connection","3103004",13937,"After School At Risk Meals and Snacks Center","Union County","2609 2nd St","","La Grande","OR","97850",1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greenwood Elem",11160,"77.9%"
"158","Klamath Falls SD - At Risk","Conger Elementary","1811012",15327,"After School At Risk Meals and Snacks Center","Klamath County","1700 California Ave.","","Klamath Falls","OR","97601",0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Joseph Conger Elementary",10125,"73.1%"
"73","Coquille SD","Coquille High School","0603005",10054,"After School At Risk Meals and Snacks Center","Coos County","499 W Central Blvd.","","Coquille","OR","97423",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Lincoln Elementary",10057,"68.8%"
"74","Coquille SD","Coquille Valley Middle School","0603005",10055,"After School At Risk Meals and Snacks Center","Coos County","1115 N Baxter St.","","Coquille","OR","97423",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Lincoln Elementary",10057,"68.8%"
"400","Vermont Hills Family Life Center","Creston","2622001",14664,"After School At Risk Meals and Snacks Center","Multnomah County","4701 SE Bush St.","","Portland","OR","97206",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Creston Elem",11019,"62.6%"
"252","Portland SD","Creston Elem","2616011",11019,"After School At Risk Meals and Snacks Center","Multnomah County","4701 SE Bush St","","Portland","OR","97206",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Creston Elem",11019,"62.6%"
"169","Lincoln Co SD","Crestview Heights","2112001",10734,"After School At Risk Meals and Snacks Center","Lincoln County","2750 Crestline Dr.","","Waldport","OR","97394",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Crestview Heights",10734,"73.4%"
"82","Crook Co SD","Crook Co High School","0703001",10058,"After School At Risk Meals and Snacks Center","Crook County","1100 SE Lynn Blvd","","Prineville","OR","97754",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Crook Co High School",10058,"56.8%"
"83","Crook Co SD","Crooked River Elementary","0703001",10061,"After School At Risk Meals and Snacks Center","Crook County","641 NE First","","Prineville","OR","97754",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Crooked River Elementary",10061,"73.1%"
"318","Salem-Keizer SD - At Risk","Crossler Middle AR Site","2419020",15027,"After School At Risk Meals and Snacks Center","Marion County","1155 Davis Road South","","Salem","OR","97306",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Liberty Elem",10872,"60.1%"
"319","Salem-Keizer SD - At Risk","Cummings Elementary AR Site","2419020",14420,"After School At Risk Meals and Snacks Center","Marion County","613 Cummings Lane N.","","Keizer","OR","97303",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cummings Elem",10858,"64.6%"
"89","David Douglas SD 40 - At Risk","David Douglas High School","2604007",15032,"After School At Risk Meals and Snacks Center","Multnomah County","1001 SE 135th","","Portland","OR","97216",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"David Douglas High",10936,"73.1%"
"291","Reynolds SD 7","Davis Elem","2618002",11078,"After School At Risk Meals and Snacks Center","Multnomah County","19501 NE Davis","","Portland","OR","97230",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Davis Elem",11078,"94.4%"
"210","Neighbors for Kids","Depoe Bay Kids Zone","2114002",14384,"After School At Risk Meals and Snacks Center","Lincoln County","634 SE  Hwy 101","","Depoe Bay","OR","97341",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Taft Elem",10733,"82.8%"
"137","Gresham-Barlow SD 10J","Dexter McCarty Middle","2607003",10951,"After School At Risk Meals and Snacks Center","Multnomah County","1400 SE 5th St","","Gresham","OR","97080",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Dexter McCarty Middle",10951,"71.8%"
"374","Springfield SD 19","Douglas Gardens Elem","2019007",10702,"After School At Risk Meals and Snacks Center","Lane County","3680 Jasper Road","","Springfield","OR","97478",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Douglas Gardens Elem",10702,"77.6%"
"224","North Wasco Co. SD","Dry Hollow Elem","3314003",13358,"After School At Risk Meals and Snacks Center","Wasco County","1314 E 19th Street","","The Dalles","OR","97058",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Dry Hollow Elem",13358,"64.2%"
"320","Salem-Keizer SD - At Risk","Eagle Academy","2419020",15211,"After School At Risk Meals and Snacks Center","Marion County","999 Locust St.","","Salem","OR","97301",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Highland",12866,"74.0%"
"99","Eagle Point SD","Eagle Point High School","1505001",11613,"After School At Risk Meals and Snacks Center","Jackson County","203 N. Platt St.","","Eagle Point","OR","97502",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Eagle Point High School",11613,"65.5%"
"90","David Douglas SD 40 - At Risk","Earl Boyles","2604007",14113,"After School At Risk Meals and Snacks Center","Multnomah County","10822 SE Bush","","Portland","OR","97266",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Earl Boyles",12494,"85.2%"
"390","Tillamook SD","East Elem","2920002",11111,"After School At Risk Meals and Snacks Center","Tillamook County","3905 Alder Ln.","","Tillamook","OR","97141",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"East Elem",11111,"70.2%"
"138","Gresham-Barlow SD 10J","East Gresham Elem","2607003",10955,"After School At Risk Meals and Snacks Center","Multnomah County","900 SE 5th St","","Gresham","OR","97080-8199",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"East Gresham Elem",10955,"90.7%"
"38","Boys & Girls Club of Salem","Eastwood","2402002",13072,"After School At Risk Meals and Snacks Center","Marion County","1120 Savage Rd","","Salem","OR","97301",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Hoover Elem",10868,"82.5%"
"170","Lincoln Co SD","Eddyville Charter School","2112001",10728,"After School At Risk Meals and Snacks Center","Lincoln County","1 Eddyville Rd","","Eddyville","OR","97343",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Eddyville Charter School",10728,"56.9%"
"106","Eugene Family YMCA","Edgewood","2005004",13211,"Outside School Hours Center","Lane County","577 W 46th Ave","","Eugene","OR","97405",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,""
"279","Redmond SD 2J","Edwin Brown Education","0918002",10401,"After School At Risk Meals and Snacks Center","Deschutes County","850 SW Antler Ave.","","Redmond","OR","97756",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Edwin Brown Education",10401,"74.2%"
"375","Springfield SD 19","Elizabeth Page Elem","2019007",10703,"After School At Risk Meals and Snacks Center","Lane County","1300 Hayden Bridge Road","","Springfield","OR","97477",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Elizabeth Page Elem",10703,"74.9%"
"16","Bend/LaPine SD","Elk Meadow Elementary","0902001",10038,"After School At Risk Meals and Snacks Center","Deschutes County","60880 Brookswood Blvd","","Bend","OR","97702",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Elk Meadow Elementary",10038,"49.4%"
"321","Salem-Keizer SD - At Risk","Englewood Elementary","2419020",15314,"After School At Risk Meals and Snacks Center","Marion County","1132 19th St. NE","","Salem","OR","97301",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Englewood Elem",10859,"73.2%"
"17","Bend/LaPine SD","Ensworth Elementary","0902001",13454,"After School At Risk Meals and Snacks Center","Deschutes County","2150 NE Daggett Lane","","Bend","OR","97701",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Ensworth Elementary",13454,"70.1%"
"280","Redmond SD 2J","Evergreen Boys & Girls Club","0918002",14841,"After School At Risk Meals and Snacks Center","Deschutes County","1379 SW 15th Street","","Redmond","OR","97756",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Obsidian Middle",10394,"64.8%"
"27","Bethel SD At-Risk","Fairfield Elementary","2002006",15367,"After School At Risk Meals and Snacks Center","Lane County","3455 Royal Ave","","Eugene","OR","97402",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Fairfield Elem",10585,"88.2%"
"121","Falls City SD 57","Fall City Elem","2706001",11097,"After School At Risk Meals and Snacks Center","Polk County","177 Prospect Street","","Falls City","OR","97344",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Fall City Elem",11097,"87.4%"
"322","Salem-Keizer SD - At Risk","Family YMCA of Marion & Polk Counties","2419020",15480,"After School At Risk Meals and Snacks Center","Marion County","685 Court St. NE","","Salem","OR","97301",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Grant Community School",10863,"75.2%"
"253","Portland SD","Faubion Elem","2616011",11022,"After School At Risk Meals and Snacks Center","Multnomah County","3039 NE Portland Blvd.","","Portland","OR","97211",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Faubion Elem",11022,"76.4%"
"367","Sheridan SD 48J","Faulconer -Chapman School","3619001",13460,"After School At Risk Meals and Snacks Center","Yamhill County","332 SW Cornwall","","Sheridan","OR","97378",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Faulconer -Chapman School",13460,"80.9%"
"91","David Douglas SD 40 - At Risk","Fir Ridge Campus At-Risk","2604007",14826,"After School At Risk Meals and Snacks Center","Multnomah County","11215 SE Market","","Portland","OR","97216",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Fir Ridge Campus",10935,"86.9%"
"59","Central SD 13J","First Baptist Church","2703001",14614,"After School At Risk Meals and Snacks Center","Polk County","1505 monmouth Street","","Independence","OR","97351",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Talmadge  Middle",11090,"62.9%"
"4","Beaverton SD 48J","Five Oaks Middle","3402002",11197,"After School At Risk Meals and Snacks Center","Washington County","1600 NW 173rd Ave.","","Beaverton","OR","97006",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Five Oaks Middle",11197,"58.3%"
"92","David Douglas SD 40 - At Risk","Floyd Light","2604007",14818,"After School At Risk Meals and Snacks Center","Multnomah County","10800 SE Washington","","Portland","OR","97216",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Floyd Light Middle",10938,"77.4%"
"122","Forest Grove SD 15","Forest Grove High","3406001",11231,"After School At Risk Meals and Snacks Center","Washington County","1401 Nichols Lane","","Forest Grove","OR","97116",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Forest Grove High",11231,"52.1%"
"323","Salem-Keizer SD - At Risk","Forest Ridge Elementary","2419020",15060,"After School At Risk Meals and Snacks Center","Marion County","7905 June Reid Pl","","Keizer","OR","97303",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"McNary High",10836,"54.0%"
"324","Salem-Keizer SD - At Risk","Four Corners Elementary AR Site","2419020",13886,"After School At Risk Meals and Snacks Center","Marion County","500 Elma Ave SE","","Salem","OR","97317",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Four Corners Elem",10861,"86.6%"
"107","Eugene Family YMCA","Fox Hollow","2005004",12813,"Outside School Hours Center","Lane County","5055 Mahalo Dr","","Eugene","OR","97405",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,""
"254","Portland SD","Franklin High","2616011",10973,"After School At Risk Meals and Snacks Center","Multnomah County","5405 SE Woodward St","","Portland","OR","97206",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Franklin High",10973,"53.1%"
"198","Milton-Freewater SD 7","Freewater Elem","3013001",11131,"After School At Risk Meals and Snacks Center","Umatilla County","17 NW 8TH Ave","","Milton-Freewater","OR","97862",0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Freewater Elem",11131,"80.4%"
"409","Woodburn SD 103","French Prairie Middle","2423006",10908,"After School At Risk Meals and Snacks Center","Marion County","1025 N Boones Ferry Rd","","Woodburn","OR","97071",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"French Prairie Middle",10908,"78.2%"
"78","Corvallis SD 509J","Garfield Elem","0203003",10178,"After School At Risk Meals and Snacks Center","Benton County","1205 NW Garfield Ave","","Corvallis","OR","97330",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Garfield Elem",10178,"73.0%"
"208","Neah-Kah-Nie SD 56","Garibaldi Elem","2914001",11104,"After School At Risk Meals and Snacks Center","Tillamook County","604 Cypress Street","","Garibaldi","OR","97118",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Garibaldi Elem",11104,"61.9%"
"255","Portland SD","George Middle","2616011",10986,"After School At Risk Meals and Snacks Center","Multnomah County","10000 N Burr Ave","","Portland","OR","97203",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"George Middle",10986,"85.8%"
"125","Gervais SD","Gervais Elementary","2407001",15276,"After School At Risk Meals and Snacks Center","Marion County","150 Douglas Street","","Gervais","OR","97026",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Gervais Elementary",15276,"83.9%"
"93","David Douglas SD 40 - At Risk","Gilbert Heights","2604007",14623,"After School At Risk Meals and Snacks Center","Multnomah County","12839 SE Holgate","","Portland","OR","97236",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Gilbert Heights Elem",10940,"81.1%"
"94","David Douglas SD 40 - At Risk","Gilbert Park","2604007",14622,"After School At Risk Meals and Snacks Center","Multnomah County","13132 SE Ramona","","Portland","OR","97236",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Gilbert Park Elem",10941,"70.0%"
"108","Eugene Family YMCA","Gilham Fun Club","2005004",15336,"Outside School Hours Center","Lane County","3307 Honeywood St","","Eugene","OR","97408",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,""
"292","Reynolds SD 7","Glenfair Elem","2618002",11080,"After School At Risk Meals and Snacks Center","Multnomah County","15300 NE Glisan","","Portland","OR","97230",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Glenfair Elem",11080,"94.4%"
"184","Medford SD 549","Glenridge Terrace","1513001",13562,"After School At Risk Meals and Snacks Center","Jackson County","690 Black Oak Drive","","Medford","OR","97504",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Hedrick Middle",10496,"76.2%"
"139","Gresham-Barlow SD 10J","Gordon Russell Middle","2607003",10952,"After School At Risk Meals and Snacks Center","Multnomah County","3625 SE Powell Valley Rd","","Gresham","OR","97080-1614",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Gordon Russell Middle",10952,"63.9%"
"68","Confed. Tribes of Grand Ronde","Grand Ronde Head Start","3603002",12811,"After School At Risk Meals and Snacks Center","Polk County","9615 Grand Ronde Rd","Youth Education Building","Grand Ronde","OR","97347",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Willamina Elem",11326,"78.8%"
